Title,Details,Overview,Priority,Type,Status,Assignees,Tags,Estimation
Autenticación y cuenta propia,"Acceso a la plataforma y gestión de la cuenta propia, con el login delegado 100% a Keycloak. Agrupa 5 historias de usuario, todas implementadas.","Acceso a la plataforma y gestión de la cuenta propia, con el login delegado 100% a Keycloak.",P1,Epic,Completed,,Autenticación,
Organizaciones,"Alta, edición y baja lógica de las organizaciones evaluadas, preservando su historial. Agrupa 5 historias de usuario, todas implementadas.","Alta, edición y baja lógica de las organizaciones evaluadas, preservando su historial.",P2,Epic,Completed,,Organizaciones,
Usuarios y roles,"Gestión de usuarios, roles y su acotamiento por organización (multi-tenant). Agrupa 6 historias de usuario, todas implementadas.","Gestión de usuarios, roles y su acotamiento por organización (multi-tenant).",P2,Epic,Completed,,Usuarios,
Catálogos MCU 5.0,"Estructura jerárquica versionada del marco MCU 5.0 (Función → Categoría → Subcategoría → Requisito → Control). Agrupa 4 historias de usuario, todas implementadas.",Estructura jerárquica versionada del marco MCU 5.0 (Función → Categoría → Subcategoría → Requisito → Control).,P1,Epic,Completed,,Catálogo,
Perfiles comunitarios,"Subconjuntos curados de controles para acotar una evaluación a lo relevante de un sector. Agrupa 2 historias de usuario, todas implementadas.",Subconjuntos curados de controles para acotar una evaluación a lo relevante de un sector.,P2,Epic,Completed,,Perfiles,
Evaluaciones — ciclo de vida y autoevaluación,"Ciclo de vida de la evaluación, autoevaluación control por control y cálculo de madurez. Agrupa 10 historias de usuario, todas implementadas. Ciclo de vida completo: DRAFT → IN_PROGRESS → READY_FOR_AUDIT → IN_AUDIT → APPROVED|RETURNED, APPROVED → ARCHIVED (RETURNED vuelve a IN_PROGRESS para corregir). Detalle de transiciones y roles habilitados en docs/API.md.","Ciclo de vida de la evaluación, autoevaluación control por control y cálculo de madurez.",P1,Epic,Completed,,Evaluaciones,
Evidencias,"Carga de evidencia documental por control e indexación por IA para consulta durante la auditoría. Agrupa 8 historias de usuario, todas implementadas.",Carga de evidencia documental por control e indexación por IA para consulta durante la auditoría.,P2,Epic,Completed,,Evidencias,
Auditoría,"Revisión de una evaluación en auditoría y registro de observaciones / no conformidades. Agrupa 5 historias de usuario, todas implementadas.",Revisión de una evaluación en auditoría y registro de observaciones / no conformidades.,P2,Epic,Completed,,Auditoría,
Plan de mejora,"Plan de mejora: sugerencias automáticas a partir de las brechas y seguimiento de las acciones. Agrupa 5 historias de usuario, todas implementadas.",Plan de mejora: sugerencias automáticas a partir de las brechas y seguimiento de las acciones.,P2,Epic,Completed,,Mejora,
Reportes,"Exportación de los resultados de madurez a PDF y Excel. Agrupa 2 historias de usuario, todas implementadas.",Exportación de los resultados de madurez a PDF y Excel.,P2,Epic,Completed,,Reportes,
